features__attributes__OBJECTID,features__attributes__Title,features__attributes__Type,features__attributes__IMDbLink,features__attributes__Address,features__attributes__Site,features__attributes__ShootDate,features__attributes__OriginalDetails,features__geometry__x,features__geometry__y,,,,,,,,,,,,,,,,,exceededTransferLimit
4474,0000,Movie,http://www.imdb.com/title/tt1710927/,3211 Monte Vista Boulevard NE,Monte Vista Elementary School,1254441600000,Monte Vista Elementary - no ITC/no closures,-106.60941972991,35.0824450926014,,,,,,,,,,,,,,,,,True
4475,0000,Movie,http://www.imdb.com/title/tt1710927/,1100 2nd Street SW,Barelas Railyards,1291161600000,Railyards,-106.651334814742,35.074486686547,,,,,,,,,,,,,,,,,
4476,0000,Movie,http://www.imdb.com/title/tt1710927/,1100 2nd Street SW,Barelas Railyards,1291248000000,Railyards,-106.651334814742,35.074486686547,,,,,,,,,,,,,,,,,
4477,0000,Movie,http://www.imdb.com/title/tt1710927/,1100 2nd Street SW,Barelas Railyards,1291334400000,Railyards,-106.651334814742,35.074486686547,,,,,,,,,,,,,,,,,
4478,0000,Movie,http://www.imdb.com/title/tt1710927/,1100 2nd Street SW,Barelas Railyards,1291420800000,Railyards,-106.651334814742,35.074486686547,,,,,,,,,,,,,,,,,
4479,0000,Movie,http://www.imdb.com/title/tt1710927/,1100 2nd Street SW,Barelas Railyards,1291593600000,Railyards,-106.651334814742,35.074486686547,,,,,,,,,,,,,,,,,
4480,0000,Movie,http://www.imdb.com/title/tt1710927/,1100 2nd Street SW,Barelas Railyards,1291680000000,Railyards,-106.651334814742,35.074486686547,,,,,,,,,,,,,,,,,
4481,0000,Movie,http://www.imdb.com/title/tt1710927/,1100 2nd Street SW,Barelas Railyards,1291766400000,Railyards,-106.651334814742,35.074486686547,,,,,,,,,,,,,,,,,
4482,0000,Movie,http://www.imdb.com/title/tt1710927/,1100 2nd Street SW,Barelas Railyards,1291852800000,Railyards,-106.651334814742,35.074486686547,,,,,,,,,,,,,,,,,
4483,0000,Movie,http://www.imdb.com/title/tt1710927/,1100 2nd Street SW,Barelas Railyards,1291939200000,Railyards,-106.651334814742,35.074486686547,,,,,,,,,,,,,,,,,
4484,0000,Movie,http://www.imdb.com/title/tt1710927/,1100 2nd Street SW,Barelas Railyards,1292025600000,Railyards,-106.651334814742,35.074486686547,,,,,,,,,,,,,,,,,
4485,0000,Movie,http://www.imdb.com/title/tt1710927/,1100 2nd Street SW,Barelas Railyards,1292198400000,Railyards,-106.651334814742,35.074486686547,,,,,,,,,,,,,,,,,
